Episode,Reward,Length,Epsilon,Termination,Loss
0,-267.26510595234015,115,0.9441083142062507,crash,1.4717464073031556
1,-205.57356831643153,117,0.8904493912795439,crash,2.0279831860819435
2,-99.20191791870315,117,0.8398402031833945,crash,1.8527811220568469
3,-170.84879268615518,141,0.7826565830718433,crash,1.5993353382070015
4,-254.69433954970174,132,0.7326568905849558,crash,1.5119781252561193
5,-260.1508274346884,100,0.6969160779772499,crash,1.5887134489417076
6,-286.79559919851147,123,0.6553370076152166,crash,1.6552631692673132
7,-192.9027318771071,80,0.6296345775255413,crash,1.7050796784460545
8,-6.28453977183834,181,0.5751420092317381,crash,1.6880575612763673
9,-126.44729113326812,142,0.5357133519937914,crash,1.777425416548487
10,-88.7031856233399,201,0.4844790033169198,crash,1.5647176507100538
11,-76.26738774509028,120,0.4562582963821671,crash,1.3249031802018483
12,-65.17228706832438,174,0.4182324302984653,crash,1.3354481155502385
13,-25.70512856273072,279,0.3637629592665289,crash,1.2812951076842551
14,-319.7213907483797,560,0.2749068797850005,crash,1.2813426317913192
15,-41.25804096701428,287,0.2381490014746076,crash,1.145530196743975
16,-48.04501200063376,1000,0.1444266104988282,out-of-view,1.1712258403599263
17,-169.80345172066683,634,0.10518200350095301,crash,1.0391544651251863
18,-136.02395303601264,1000,0.06378813329913666,out-of-view,1.183922903805971
19,-123.78367317214736,210,0.05742851263827092,crash,1.0881409259069534
20,-82.345338870779,318,0.048984364364963374,crash,1.1195039597322356
21,-90.18227376513344,1000,0.029706804012888475,out-of-view,1.077361562281847
22,43.06930265913065,1000,0.01999089815867558,out-of-view,1.1874045378267766
23,-83.55491228654925,51,0.01999089815867558,crash,1.394802909855749
24,-163.385855171623,402,0.01999089815867558,crash,1.3255288357758404
25,-25.877612718599664,361,0.01999089815867558,crash,1.230609958852097
26,-104.15927218351014,127,0.01999089815867558,crash,1.1103196890335383
27,-99.08885624386203,99,0.01999089815867558,crash,1.1764577539882275
28,-134.4783043486052,118,0.01999089815867558,crash,1.1682325270721468
29,-84.15159670495144,201,0.01999089815867558,crash,1.0710829803303106
30,-111.05869392741414,377,0.01999089815867558,crash,1.0684179512670249
31,-8.750544867251719,336,0.01999089815867558,crash,1.096583786287478
32,-81.53486556169858,76,0.01999089815867558,crash,0.9930805501184965
33,-54.851613753302566,364,0.01999089815867558,crash,1.0108160550122733
34,-70.12109923306222,108,0.01999089815867558,crash,0.9119191771304166
35,134.40312065141694,971,0.01999089815867558,sleep,0.9934805165113062
36,-87.49256675645199,91,0.01999089815867558,crash,0.9927418798535734
37,-113.2470692279539,358,0.01999089815867558,crash,0.93588786051926
38,-105.9294845354316,72,0.01999089815867558,crash,1.0999372038576338
39,-88.95638746660276,262,0.01999089815867558,crash,0.9278534730427138
40,-51.75387598744088,265,0.01999089815867558,crash,1.003309576016552
41,-76.94438124339713,652,0.01999089815867558,crash,0.959678750873709
42,-104.4977492300708,364,0.01999089815867558,crash,0.9543298861155143
43,7.997514553207623,166,0.01999089815867558,crash,0.9177466318549881
44,-123.64851955924824,361,0.01999089815867558,crash,0.951231942365044
45,-20.50333582366923,1000,0.01999089815867558,out-of-view,0.9284761976599694
46,198.6108888436229,396,0.01999089815867558,sleep,0.8313325905438625
47,-89.58954128479823,1000,0.01999089815867558,out-of-view,0.90260299693048
48,-114.97557459579431,320,0.01999089815867558,crash,0.8555348322261125
49,188.22356206436683,467,0.01999089815867558,sleep,0.8392041360349165
50,-27.167261655659672,141,0.01999089815867558,crash,0.764599712816536
51,-7.583350899095109,230,0.01999089815867558,crash,0.8612986555565958
52,-52.804850570423085,1000,0.01999089815867558,out-of-view,0.8117147355973721
53,-23.42033568363475,1000,0.01999089815867558,out-of-view,0.8520039747953415
54,230.2517041861406,496,0.01999089815867558,sleep,0.8418980106831558
55,-3.55651043403993,1000,0.01999089815867558,out-of-view,0.7999775510132313
56,-187.83716354276,138,0.01999089815867558,crash,0.7945003742757051
57,-17.85661303420381,1000,0.01999089815867558,out-of-view,0.8089173775315285
58,-23.147817547996574,1000,0.01999089815867558,out-of-view,0.7370165443569422
59,-69.72480040482286,1000,0.01999089815867558,out-of-view,0.7269709320068359
60,-67.91777458107747,1000,0.01999089815867558,out-of-view,0.6990688971281052
61,-268.74374914257385,808,0.01999089815867558,crash,0.6903114914156423
62,-250.2730443778305,699,0.01999089815867558,crash,0.7419408072686844
63,-78.73905416069123,1000,0.01999089815867558,out-of-view,0.7458648613244295
64,20.519477639220767,1000,0.01999089815867558,out-of-view,0.7623495618104935
65,-3.2571852666923533,1000,0.01999089815867558,out-of-view,0.7914391669034958
66,-28.126087297892024,1000,0.01999089815867558,out-of-view,0.7953474766165018
67,160.21286961323892,924,0.01999089815867558,sleep,0.7591053742060672
68,-47.43500048097892,1000,0.01999089815867558,out-of-view,0.7748615892529488
69,44.15849681592964,1000,0.01999089815867558,out-of-view,0.7898089023530483
70,-29.94207676953426,1000,0.01999089815867558,out-of-view,0.8050055020749569
71,-83.23761613378294,1000,0.01999089815867558,out-of-view,0.7580934054255486
72,-122.7592482738736,1000,0.01999089815867558,out-of-view,0.7686540389955043
73,-163.20551671635383,298,0.01999089815867558,crash,0.747645416815809
74,-79.99173133429666,485,0.01999089815867558,crash,0.7314514456028791
75,-58.526017253922106,1000,0.01999089815867558,out-of-view,0.7500879771113396
76,-64.76755358482943,1000,0.01999089815867558,out-of-view,0.7466110036373138
77,-145.33750795212606,218,0.01999089815867558,crash,0.7770423875489366
78,-68.22781832388175,1000,0.01999089815867558,out-of-view,0.7453953887373209
79,-144.0058180587746,338,0.01999089815867558,crash,0.6925908723879143
80,-120.37920415538252,467,0.01999089815867558,crash,0.7726272666224576
81,-131.0416028933791,159,0.01999089815867558,crash,0.7543304075235091
82,-15.83685836924954,127,0.01999089815867558,crash,0.7547896790692187
83,-167.64270327305036,529,0.01999089815867558,crash,0.7479586773367144
84,-152.9754112259401,873,0.01999089815867558,crash,0.720919926773505
85,-189.2624920809755,681,0.01999089815867558,crash,0.7288445689648434
86,-30.514434895222955,1000,0.01999089815867558,out-of-view,0.7238833003640175
87,-193.89119508090698,485,0.01999089815867558,crash,0.707413124331494
88,-123.86838966227074,170,0.01999089815867558,crash,0.7124756260829813
